actuator_ROM 240 80 5.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
132          2.50000000e-02   3.27500000e+00   1.55529239e-03   3.03576608e-17   4.71085092e+01  -3.29267118e-17   2.33920571e+01 
133          2.50000000e-02   3.30000000e+00   1.56200616e-03   2.88397778e-17   4.71075078e+01  -6.91610872e-17   2.33908583e+01 
134          2.50000000e-02   3.32500000e+00   1.56410323e-03   3.09946296e-17   4.71067879e+01  -4.00159540e-17   2.33899395e+01 
135          2.50000000e-02   3.35000000e+00   1.57023186e-03   3.08455518e-17   4.71063194e+01   9.09035759e-18   2.33892728e+01 
136          2.50000000e-02   3.37500000e+00   1.57160095e-03   3.03576608e-17   4.71060707e+01  -1.16894782e-17   2.33888281e+01 
137          2.50000000e-02   3.40000000e+00   1.57735427e-03   3.27429056e-17   4.71060088e+01  -4.19531184e-17   2.33885737e+01 
138          2.50000000e-02   3.42500000e+00   1.57781970e-03   3.14960731e-17   4.71060996e+01  -1.12638441e-17   2.33884763e+01 
139          2.50000000e-02   3.45000000e+00   1.58338028e-03   3.25260652e-17   4.71063081e+01  -2.18060162e-17   2.33885012e+01 
140          2.50000000e-02   3.47500000e+00   1.58279836e-03   3.03576608e-17   4.71065988e+01   3.38465895e-17   2.33886124e+01 
141          2.50000000e-02   3.50000000e+00   1.58834163e-03   3.27971157e-17   4.71069354e+01  -4.70289633e-17   2.33887732e+01 
142          2.50000000e-02   3.52500000e+00   1.58657974e-03   2.81350464e-17   4.71072818e+01   4.41897089e-17   2.33889460e+01 
143          2.50000000e-02   3.55000000e+00   1.59227366e-03   3.11708125e-17   4.71076016e+01  -6.94702542e-17   2.33890932e+01 
144          2.50000000e-02   3.57500000e+00   1.58920970e-03   3.16587034e-17   4.71078585e+01  -4.15596716e-17   2.33891768e+01 
145          2.50000000e-02   3.60000000e+00   1.59521460e-03   3.01272679e-17   4.71080171e+01   4.11641072e-17   2.33891591e+01 
146          2.50000000e-02   3.62500000e+00   1.59370851e-03   3.38271078e-17   4.71080421e+01   1.79570985e-17   2.33890030e+01 
147          2.50000000e-02   3.65000000e+00   1.59720492e-03   3.10623922e-17   4.71078996e+01   2.74015158e-18   2.33886722e+01 
148          2.50000000e-02   3.67500000e+00   1.60011310e-03   3.24176450e-17   4.71075565e+01   6.08838812e-17   2.33881314e+01 
149          2.50000000e-02   3.70000000e+00   1.59828664e-03   3.27429056e-17   4.71069809e+01  -2.61072495e-17   2.33873469e+01 
150          2.50000000e-02   3.72500000e+00   1.60554066e-03   2.92734587e-17   4.71061427e+01   4.44268781e-18   2.33862865e+01 
151          2.50000000e-02   3.75000000e+00   1.59850285e-03   2.93276688e-17   4.71050132e+01  -5.95235463e-17   2.33849203e+01 
152          2.50000000e-02   3.77500000e+00   1.61002868e-03   3.01408204e-17   4.71035658e+01   7.75289257e-18   2.33832201e+01 
153          2.50000000e-02   3.80000000e+00   1.59833152e-03   3.42607887e-17   4.71017756e+01  -3.91447806e-17   2.33811607e+01 
154          2.50000000e-02   3.82500000e+00   1.61361623e-03   3.36102673e-17   4.70996202e+01  -4.10226527e-17   2.33787192e+01 
155          2.50000000e-02   3.85000000e+00   1.60076380e-03   3.19839641e-17   4.70970793e+01   5.10252647e-17   2.33758755e+01 
156          2.50000000e-02   3.87500000e+00   1.61634331e-03   3.07913417e-17   4.70941352e+01  -9.62483538e-18   2.33726128e+01 
157          2.50000000e-02   3.90000000e+00   1.60223643e-03   3.10081821e-17   4.70907726e+01  -8.52326903e-17   2.33689172e+01 
158          2.50000000e-02   3.92500000e+00   1.61825036e-03   3.40439482e-17   4.70869790e+01  -2.64697796e-17   2.33647780e+01 
159          2.50000000e-02   3.95000000e+00   1.60279690e-03   3.29597460e-17   4.70827445e+01  -6.98082203e-17   2.33601879e+01 
160          2.50000000e-02   3.97500000e+00   1.61937776e-03   3.40439482e-17   4.70780621e+01  -1.33218801e-16   2.33551427e+01 
161          2.50000000e-02   4.00000000e+00   1.60402071e-03   4.81385765e-17   4.70729275e+01   6.20561748e-17   2.33496418e+01 
162          2.50000000e-02   4.02500000e+00   1.61976543e-03   4.11494186e-17   4.70673394e+01   2.96207422e-17   2.33436876e+01 
163          2.50000000e-02   4.05000000e+00   1.60847597e-03   4.20670443e-17   4.70612993e+01   1.12469035e-17   2.33372859e+01 
164          2.50000000e-02   4.07500000e+00   1.61945246e-03   3.98986399e-17   4.70548116e+01   5.48538537e-18   2.33304455e+01 
165          2.50000000e-02   4.10000000e+00   1.61218322e-03   4.31512465e-17   4.70478835e+01  -2.86153141e-17   2.33231783e+01 
166          2.50000000e-02   4.12500000e+00   1.61847682e-03   4.05491613e-17   4.70405251e+01   7.90832311e-17   2.33154991e+01 
167          2.50000000e-02   4.15000000e+00   1.61517598e-03   3.91396984e-17   4.70327490e+01   2.38583770e-17   2.33074252e+01 
168          2.50000000e-02   4.17500000e+00   1.61687506e-03   4.25007252e-17   4.70245708e+01  -1.24391023e-16   2.32989768e+01 
169          2.50000000e-02   4.20000000e+00   1.61748660e-03   4.61870125e-17   4.70160083e+01  -1.63384185e-17   2.32901760e+01 
170          2.50000000e-02   4.22500000e+00   1.61468219e-03   5.07406617e-17   4.70070821e+01  -4.49511915e-17   2.32810474e+01 
171          2.50000000e-02   4.25000000e+00   1.61914613e-03   7.37257477e-17   4.69978150e+01  -3.76929662e-18   2.32716174e+01 
172          2.50000000e-02   4.27500000e+00   1.61193143e-03   4.51028104e-17   4.69882318e+01  -8.95330766e-17   2.32619139e+01 
