LDC_unsteady 100 100 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
125          2.50000000e-03   3.10000000e-01   7.24760627e-05   1.21647484e-15  -1.88198185e-15   3.44757995e-15   1.51141554e-02 
126          2.50000000e-03   3.12500000e-01   7.19063507e-05   1.22601582e-15  -1.83496474e-15   3.45590120e-15   1.51638768e-02 
127          2.50000000e-03   3.15000000e-01   7.13426071e-05   1.23468943e-15  -1.77834228e-15   3.46593007e-15   1.52133049e-02 
128          2.50000000e-03   3.17500000e-01   7.07847639e-05   1.24336305e-15  -1.79622146e-15   3.47922171e-15   1.52624432e-02 
129          2.50000000e-03   3.20000000e-01   7.02327532e-05   1.25420507e-15  -1.94957847e-15   3.49536277e-15   1.53112952e-02 
130          2.50000000e-03   3.22500000e-01   6.96865070e-05   1.26331237e-15  -1.88877505e-15   3.51185959e-15   1.53598643e-02 
131          2.50000000e-03   3.25000000e-01   6.91459578e-05   1.27502175e-15  -1.93690008e-15   3.52556797e-15   1.54081539e-02 
132          2.50000000e-03   3.27500000e-01   6.86110379e-05   1.28499641e-15  -1.67784352e-15   3.54545969e-15   1.54561673e-02 
133          2.50000000e-03   3.30000000e-01   6.80816801e-05   1.29410371e-15  -1.84600328e-15   3.55501761e-15   1.55039077e-02 
134          2.50000000e-03   3.32500000e-01   6.75578174e-05   1.30364469e-15  -1.93550755e-15   3.56984068e-15   1.55513783e-02 
135          2.50000000e-03   3.35000000e-01   6.70393831e-05   1.31405303e-15  -1.99199449e-15   3.58496869e-15   1.55985821e-02 
136          2.50000000e-03   3.37500000e-01   6.65263111e-05   1.32402769e-15  -1.97532827e-15   3.59352373e-15   1.56455223e-02 
137          2.50000000e-03   3.40000000e-01   6.60185357e-05   1.33443603e-15  -2.00191155e-15   3.60694412e-15   1.56922019e-02 
138          2.50000000e-03   3.42500000e-01   6.55159916e-05   1.34180861e-15  -2.06447001e-15   3.61626825e-15   1.57386237e-02 
139          2.50000000e-03   3.45000000e-01   6.50186140e-05   1.35525272e-15  -1.89196667e-15   3.62584312e-15   1.57847907e-02 
140          2.50000000e-03   3.47500000e-01   6.45263388e-05   1.36652842e-15  -1.97059166e-15   3.63362565e-15   1.58307057e-02 
141          2.50000000e-03   3.50000000e-01   6.40391024e-05   1.37650308e-15  -2.16833997e-15   3.65052566e-15   1.58763715e-02 
142          2.50000000e-03   3.52500000e-01   6.35568418e-05   1.38691142e-15  -2.02927749e-15   3.66364111e-15   1.59217907e-02 
143          2.50000000e-03   3.55000000e-01   6.30794944e-05   1.39731976e-15  -1.96421181e-15   3.67048175e-15   1.59669662e-02 
144          2.50000000e-03   3.57500000e-01   6.26069987e-05   1.40772810e-15  -2.24774762e-15   3.68080878e-15   1.60119005e-02 
145          2.50000000e-03   3.60000000e-01   6.21392935e-05   1.41900380e-15  -2.09900863e-15   3.69492712e-15   1.60565962e-02 
146          2.50000000e-03   3.62500000e-01   6.16763184e-05   1.42767742e-15  -2.19497746e-15   3.70218789e-15   1.61010558e-02 
147          2.50000000e-03   3.65000000e-01   6.12180136e-05   1.43808576e-15  -2.17262257e-15   3.71215916e-15   1.61452819e-02 
148          2.50000000e-03   3.67500000e-01   6.07643200e-05   1.44719306e-15  -2.09667421e-15   3.72645369e-15   1.61892770e-02 
149          2.50000000e-03   3.70000000e-01   6.03151793e-05   1.45760140e-15  -2.09794476e-15   3.74129032e-15   1.62330433e-02 
150          2.50000000e-03   3.72500000e-01   5.98705337e-05   1.46757606e-15  -2.20316319e-15   3.75470393e-15   1.62765834e-02 
151          2.50000000e-03   3.75000000e-01   5.94303264e-05   1.47798440e-15  -2.23133889e-15   3.76350291e-15   1.63198995e-02 
152          2.50000000e-03   3.77500000e-01   5.89945010e-05   1.48795906e-15  -2.15222940e-15   3.77723840e-15   1.63629939e-02 
153          2.50000000e-03   3.80000000e-01   5.85891821e-05   1.49836740e-15  -2.24759515e-15   3.78877160e-15   1.64058689e-02 
154          2.50000000e-03   3.82500000e-01   5.82143882e-05   1.50573998e-15  -2.17297493e-15   3.79955602e-15   1.64485267e-02 
155          2.50000000e-03   3.85000000e-01   5.78424390e-05   1.51528096e-15  -2.30093451e-15   3.81268503e-15   1.64909695e-02 
156          2.50000000e-03   3.87500000e-01   5.74733170e-05   1.52525562e-15  -2.18289200e-15   3.82684065e-15   1.65331995e-02 
157          2.50000000e-03   3.90000000e-01   5.71070040e-05   1.53176083e-15  -2.26650431e-15   3.84088106e-15   1.65752187e-02 
158          2.50000000e-03   3.92500000e-01   5.67434819e-05   1.54216917e-15  -2.27172204e-15   3.85093704e-15   1.66170292e-02 
159          2.50000000e-03   3.95000000e-01   5.63827321e-05   1.55127647e-15  -2.43952943e-15   3.86257188e-15   1.66586331e-02 
160          2.50000000e-03   3.97500000e-01   5.60247357e-05   1.56341953e-15  -2.36258495e-15   3.86812842e-15   1.67000323e-02 
